repo,owner,url,forks,stars
java-design-patterns,iluwatar,https://api.github.com/repos/iluwatar/java-design-patterns,15152,46885
elasticsearch,elastic,https://api.github.com/repos/elastic/elasticsearch,13426,40328
RxJava,ReactiveX,https://api.github.com/repos/ReactiveX/RxJava,6528,38596
spring-boot,spring-projects,https://api.github.com/repos/spring-projects/spring-boot,24170,36894
JavaGuide,Snailclimb,https://api.github.com/repos/Snailclimb/JavaGuide,11123,36202
interviews,kdn251,https://api.github.com/repos/kdn251/interviews,6783,33990
retrofit,square,https://api.github.com/repos/square/retrofit,5975,32051
okhttp,square,https://api.github.com/repos/square/okhttp,7090,31856
guava,google,https://api.github.com/repos/google/guava,7008,31167
spring-framework,spring-projects,https://api.github.com/repos/spring-projects/spring-framework,18154,28432
