repo,owner,url,forks,stars,url,Closed_count,,,,
LeetCodeAnimation,MisterBooo,https://api.github.com/repos/MisterBooo/LeetCodeAnimation,8814,48960,https://github.com/MisterBooo/LeetCodeAnimation/pulls,      10 Closed,,,,
PhotoView,chrisbanes,https://api.github.com/repos/chrisbanes/PhotoView,3646,16338,https://github.com/chrisbanes/PhotoView/pulls,      129 Closed,,a,,
Android-Universal-Image-Loader,nostra13,https://api.github.com/repos/nostra13/Android-Universal-Image-Loader,6317,16669,https://github.com/nostra13/Android-Universal-Image-Loader/pulls,      132 Closed,,a,,
AndroidUtilCode,Blankj,https://api.github.com/repos/Blankj/AndroidUtilCode,8640,26179,https://github.com/Blankj/AndroidUtilCode/pulls,      155 Closed,,a,,
SmartRefreshLayout,scwang90,https://api.github.com/repos/scwang90/SmartRefreshLayout,4129,19855,https://github.com/scwang90/SmartRefreshLayout/pulls,      18 Closed,,,,
ghidra,NationalSecurityAgency,https://api.github.com/repos/NationalSecurityAgency/ghidra,2458,19021,https://github.com/NationalSecurityAgency/ghidra/pulls,      214 Closed,,a,,
RxAndroid,ReactiveX,https://api.github.com/repos/ReactiveX/RxAndroid,2896,18739,https://github.com/ReactiveX/RxAndroid/pulls,      222 Closed,,a,,
jadx,skylot,https://api.github.com/repos/skylot/jadx,2424,21056,https://github.com/skylot/jadx/pulls,      228 Closed,,a,,
arthas,alibaba,https://api.github.com/repos/alibaba/arthas,4127,19296,https://github.com/alibaba/arthas/pulls,      236 Closed,,b,152/236,
BaseRecyclerViewAdapterHelper,CymChad,https://api.github.com/repos/CymChad/BaseRecyclerViewAdapterHelper,4052,19231,https://github.com/CymChad/BaseRecyclerViewAdapterHelper/pulls,      257 Closed,,a,,
zxing,zxing,https://api.github.com/repos/zxing/zxing,8558,24605,https://github.com/zxing/zxing/pulls,      264 Closed,,b,149/264,
spring-boot-examples,ityouknow,https://api.github.com/repos/ityouknow/spring-boot-examples,9347,20600,https://github.com/ityouknow/spring-boot-examples/pulls,      30 Closed,,,,
gson,google,https://api.github.com/repos/google/gson,3389,17218,https://github.com/google/gson/pulls,      303 Closed,,a,,
proxyee-down,proxyee-down-org,https://api.github.com/repos/proxyee-down-org/proxyee-down,4657,25458,https://github.com/proxyee-down-org/proxyee-down/pulls,      33 Closed,,,,
MPAndroidChart,PhilJay,https://api.github.com/repos/PhilJay/MPAndroidChart,7664,29707,https://github.com/PhilJay/MPAndroidChart/pulls,      341 Closed,,a,,
JavaGuide,Snailclimb,https://api.github.com/repos/Snailclimb/JavaGuide,23234,68047,https://github.com/Snailclimb/JavaGuide/pulls,      345 Closed,,a,,
fresco,facebook,https://api.github.com/repos/facebook/fresco,3701,16025,https://github.com/facebook/fresco/pulls,      352 Closed,,a,,
lottie-android,airbnb,https://api.github.com/repos/airbnb/lottie-android,4464,27965,https://github.com/airbnb/lottie-android/pulls,      401 Closed,,a,,
mall,macrozheng,https://api.github.com/repos/macrozheng/mall,12061,29091,https://github.com/macrozheng/mall/pulls,      41 Closed,,,,
glide,bumptech,https://api.github.com/repos/bumptech/glide,5156,28168,https://github.com/bumptech/glide/pulls,      446 Closed,,a,,
fastjson,alibaba,https://api.github.com/repos/alibaba/fastjson,5551,20522,https://github.com/alibaba/fastjson/pulls,      447 Closed,,a,,
butterknife,JakeWharton,https://api.github.com/repos/JakeWharton/butterknife,4714,25022,https://github.com/JakeWharton/butterknife/pulls,      457 Closed,,a,,
CS-Notes,CyC2018,https://api.github.com/repos/CyC2018/CS-Notes,28844,89476,https://github.com/CyC2018/CS-Notes/pulls,      457 Closed,,a,,
guava,google,https://api.github.com/repos/google/guava,7997,35687,https://github.com/google/guava/pulls,      553 Closed,,,,
advanced-java,doocs,https://api.github.com/repos/doocs/advanced-java,10489,38366,https://github.com/doocs/advanced-java/pulls,      58 Closed,,,,
java-design-patterns,iluwatar,https://api.github.com/repos/iluwatar/java-design-patterns,17749,55008,https://github.com/iluwatar/java-design-patterns/pulls,      626 Closed,,b,427/626,design-pattern
picasso,square,https://api.github.com/repos/square/picasso,3984,17280,https://github.com/square/picasso/pulls,      640 Closed,,a,,
EventBus,greenrobot,https://api.github.com/repos/greenrobot/EventBus,4439,22111,https://github.com/greenrobot/EventBus/pulls,      69 Closed,,,,
interviews,kdn251,https://api.github.com/repos/kdn251/interviews,8716,41547,https://github.com/kdn251/interviews/pulls,      71 Closed,,,,
Java,TheAlgorithms,https://api.github.com/repos/TheAlgorithms/Java,7782,21083,https://github.com/TheAlgorithms/Java/pulls,      737 Closed,,a,,
Hystrix,Netflix,https://api.github.com/repos/Netflix/Hystrix,3940,19008,https://github.com/Netflix/Hystrix/pulls,      746 Closed,,a,,
zheng,shuzheng,https://api.github.com/repos/shuzheng/zheng,7175,14935,https://github.com/shuzheng/zheng/pulls,      76 Closed,,,,
ExoPlayer,google,https://api.github.com/repos/google/ExoPlayer,4450,14819,https://github.com/google/ExoPlayer/pulls,      800 Closed,,a,,
druid,alibaba,https://api.github.com/repos/alibaba/druid,6833,20142,https://github.com/alibaba/druid/pulls,      950 Closed,,b,861/950,
retrofit,square,https://api.github.com/repos/square/retrofit,6412,34760,https://github.com/square/retrofit/pulls,      951 Closed,,b,687/951,
JCSprout,crossoverJie,https://api.github.com/repos/crossoverJie/JCSprout,6524,23473,https://github.com/crossoverJie/JCSprout/pulls,      97 Closed,,a,,
apollo,ctripcorp,https://api.github.com/repos/ctripcorp/apollo,6977,19396,https://github.com/ctripcorp/apollo/pulls,1025 Closed,,,,
tinker,Tencent,https://api.github.com/repos/Tencent/tinker,2963,14683,https://github.com/Tencent/tinker/pulls,104 Closed,,,,
selenium,SeleniumHQ,https://api.github.com/repos/SeleniumHQ/selenium,5466,16702,https://github.com/SeleniumHQ/selenium/pulls,1589 Closed,,,,
dubbo,apache,https://api.github.com/repos/apache/dubbo,20286,30952,https://github.com/apache/dubbo/pulls,2367 Closed,,,,
spring-framework,spring-projects,https://api.github.com/repos/spring-projects/spring-framework,23167,34933,https://github.com/spring-projects/spring-framework/pulls,2436 Closed,,,,
okhttp,square,https://api.github.com/repos/square/okhttp,7772,35709,https://github.com/square/okhttp/pulls,2717 Closed,,,,
libgdx,libgdx,https://api.github.com/repos/libgdx/libgdx,5942,16383,https://github.com/libgdx/libgdx/pulls,2732 Closed,,,,
elasticsearch,elastic,https://api.github.com/repos/elastic/elasticsearch,15834,46708,https://github.com/elastic/elasticsearch/pulls,28574 Closed,,,,
RxJava,ReactiveX,https://api.github.com/repos/ReactiveX/RxJava,6994,41693,https://github.com/ReactiveX/RxJava/pulls,3369 Closed,,,,
spring-boot,spring-projects,https://api.github.com/repos/spring-projects/spring-boot,28497,45043,https://github.com/spring-projects/spring-boot/pulls,3888 Closed,,,,
jenkins,jenkinsci,https://api.github.com/repos/jenkinsci/jenkins,6017,14793,https://github.com/jenkinsci/jenkins/pulls,4362 Closed,,,,
netty,netty,https://api.github.com/repos/netty/netty,10566,22439,https://github.com/netty/netty/pulls,4951 Closed,,,,
kafka,apache,https://api.github.com/repos/apache/kafka,7816,14776,https://github.com/apache/kafka/pulls,7267 Closed,,,,
tutorials,eugenp,https://api.github.com/repos/eugenp/tutorials,29516,19144,https://github.com/eugenp/tutorials/pulls,8156 Closed,,,,
