agera,google,google/agera,2015/12/17 13:22,https://github.com/google/agera,675,7347,      124 Closed,,
Android_Data,Freelander,Freelander/Android_Data,2015/4/4 1:37,https://github.com/Freelander/Android_Data,2063,8183,      10 Closed,,
Android_Data,Freelander,Freelander/Android_Data,2015/4/4 1:37,https://github.com/Freelander/Android_Data,2063,8183,      10 Closed,,
Android_Data,Freelander,Freelander/Android_Data,2015/4/4 1:37,https://github.com/Freelander/Android_Data,2063,8183,      10 Closed,,
android-async-http,android-async-http,android-async-http/android-async-http,2011/2/20 3:25,https://github.com/android-async-http/android-async-http,4266,10542,      273 Closed,,
Android-CleanArchitecture,android10,android10/Android-CleanArchitecture,2014/8/19 14:09,https://github.com/android10/Android-CleanArchitecture,3212,14143,      36 Closed,,
android-gif-drawable,koral--,koral--/android-gif-drawable,2013/1/30 1:37,https://github.com/koral--/android-gif-drawable,1648,8109,      120 Closed,,
android-gif-drawable,koral--,koral--/android-gif-drawable,2013/1/30 1:37,https://github.com/koral--/android-gif-drawable,1648,8109,      120 Closed,,
Android-ObservableScrollView,ksoichiro,ksoichiro/Android-ObservableScrollView,2014/11/8 14:45,https://github.com/ksoichiro/Android-ObservableScrollView,2115,9532,      21 Closed,,
Android-PickerView,Bigkoo,Bigkoo/Android-PickerView,2014/12/28 1:46,https://github.com/Bigkoo/Android-PickerView,2885,11353,      56 Closed,,
Android-PullToRefresh,chrisbanes,chrisbanes/Android-PullToRefresh,2011/11/29 9:59,https://github.com/chrisbanes/Android-PullToRefresh,4973,8827,      63 Closed,,
Android-PullToRefresh,chrisbanes,chrisbanes/Android-PullToRefresh,2011/11/29 9:59,https://github.com/chrisbanes/Android-PullToRefresh,4973,8827,      63 Closed,,
Android-Universal-Image-Loader,nostra13,nostra13/Android-Universal-Image-Loader,2011/11/27 18:48,https://github.com/nostra13/Android-Universal-Image-Loader,6321,16675,      133 Closed,Å[,
Android-Universal-Image-Loader,nostra13,nostra13/Android-Universal-Image-Loader,2011/11/27 18:48,https://github.com/nostra13/Android-Universal-Image-Loader,6321,16675,      133 Closed,Å[,
androidannotations,androidannotations,androidannotations/androidannotations,2012/1/6 8:48,https://github.com/androidannotations/androidannotations,2452,10987,      623 Closed,,
AndroidAutoSize,JessYanCoding,JessYanCoding/AndroidAutoSize,2018/8/17 9:04,https://github.com/JessYanCoding/AndroidAutoSize,1317,9266,      6 Closed,,
AndroidNote,GcsSloop,GcsSloop/AndroidNote,2016/1/4 23:51,https://github.com/GcsSloop/AndroidNote,1890,7657,      13 Closed,,
AndroidSwipeLayout,daimajia,daimajia/AndroidSwipeLayout,2014/8/25 4:09,https://github.com/daimajia/AndroidSwipeLayout,2691,11683,      38 Closed,,
AndroidViewAnimations,daimajia,daimajia/AndroidViewAnimations,2014/6/23 3:53,https://github.com/daimajia/AndroidViewAnimations,2324,11198,      25 Closed,,
