URL,Repo,pom-check,PR,merged
https://github.com/CyC2018/CS-Notes,CyC2018/CS-Notes,none,484,361
https://github.com/Snailclimb/JavaGuide,Snailclimb/JavaGuide,none,412,284
https://github.com/spring-projects/spring-boot,spring-projects/spring-boot,none,4229,41
https://github.com/kdn251/interviews,kdn251/interviews,none,71,42
https://github.com/PhilJay/MPAndroidChart,PhilJay/MPAndroidChart,none,348,189
https://github.com/bumptech/glide,bumptech/glide,none,493,338
https://github.com/zxing/zxing,zxing/zxing,include-Pom,272,153
https://github.com/JakeWharton/butterknife,JakeWharton/butterknife,none,462,342
https://github.com/netty/netty,netty/netty,none,5183,1441
https://github.com/greenrobot/EventBus,greenrobot/EventBus,none,74,29
https://github.com/ityouknow/spring-boot-examples,ityouknow/spring-boot-examples,include-Pom,34,5
https://github.com/skylot/jadx,skylot/jadx,none,246,211
https://github.com/eugenp/tutorials,eugenp/tutorials,include-Pom,9130,6479
https://github.com/NationalSecurityAgency/ghidra,NationalSecurityAgency/ghidra,none,254,139
https://github.com/scwang90/SmartRefreshLayout,scwang90/SmartRefreshLayout,none,18,6
https://github.com/CymChad/BaseRecyclerViewAdapterHelper,CymChad/BaseRecyclerViewAdapterHelper,none,257,190
https://github.com/ReactiveX/RxAndroid,ReactiveX/RxAndroid,none,227,167
https://github.com/google/gson,google/gson,include-Pom,318,203
https://github.com/square/picasso,square/picasso,none,641,470
https://github.com/chrisbanes/PhotoView,chrisbanes/PhotoView,none,131,52
https://github.com/hollischuang/toBeTopJavaer,hollischuang/toBeTopJavaer,none,34,25
https://github.com/wuyouzhuguli/SpringAll,wuyouzhuguli/SpringAll,none,2,1
https://github.com/alibaba/spring-cloud-alibaba,alibaba/spring-cloud-alibaba,include-Pom,499,378
https://github.com/redisson/redisson,redisson/redisson,include-Pom,300,228
https://github.com/linlinjava/litemall,linlinjava/litemall,include-Pom,113,58
https://github.com/looly/hutool,looly/hutool,none,162,72
https://github.com/hdodenhof/CircleImageView,hdodenhof/CircleImageView,none,53,13
https://github.com/brettwooldridge/HikariCP,brettwooldridge/HikariCP,none,270,183
https://github.com/react-native-community/lottie-react-native,react-native-community/lottie-react-native,none,168,123
https://github.com/JeffLi1993/springboot-learning-example,JeffLi1993/springboot-learning-example,include-Pom,20,6
https://github.com/oracle/graal,oracle/graal,none,664,419
https://github.com/alibaba/nacos,alibaba/nacos,none,803,580
https://github.com/LMAX-Exchange/disruptor,LMAX-Exchange/disruptor,none,76,42
https://github.com/facebook/stetho,facebook/stetho,none,294,262
https://github.com/Bigkoo/Android-PickerView,Bigkoo/Android-PickerView,none,56,32
https://github.com/daimajia/AndroidSwipeLayout,daimajia/AndroidSwipeLayout,none,38,22
https://github.com/eclipse/deeplearning4j,eclipse/deeplearning4j,include-Pom,3683,3349
https://github.com/Tencent/QMUI_Android,Tencent/QMUI_Android,none,26,11
https://github.com/dyc87112/SpringBoot-Learning,dyc87112/SpringBoot-Learning,include-Pom,2,1
https://github.com/wix/react-native-navigation,wix/react-native-navigation,none,1893,1392
https://github.com/Konloch/bytecode-viewer,Konloch/bytecode-viewer,none,54,35
